# TODO: this is ps -ef output on your k40
# TODO: interpret what's going on

UID             PID   PPID C STIME TTY          TIME CMD
root            491      2 0 22:41:37 ?     00:00:00 [cdsprm-wq]
root            492      2 0 22:41:37 ?     00:00:00 [cdsprm-wq-delay]
root            494      2 0 22:41:37 ?     00:00:00 [irq/268-arm-smm]
root            495      2 0 22:41:37 ?     00:00:00 [irq/269-arm-smm]
root            496      2 0 22:41:37 ?     00:00:00 [irq/270-arm-smm]
root            497      2 0 22:41:37 ?     00:00:00 [irq/271-arm-smm]
root            499      2 0 22:41:37 ?     00:00:00 [irq/272-arm-smm]
root            500      2 0 22:41:37 ?     00:00:00 [irq/273-arm-smm]
root            501      2 0 22:41:37 ?     00:00:00 [irq/274-arm-smm]
root            502      2 0 22:41:37 ?     00:00:00 [irq/275-arm-smm]
root            503      2 0 22:41:37 ?     00:00:00 [irq/276-arm-smm]
root            504      2 0 22:41:37 ?     00:00:00 [irq/277-arm-smm]
root            505      2 0 22:41:37 ?     00:00:00 [irq/278-arm-smm]
root            506      2 0 22:41:37 ?     00:00:00 [irq/279-arm-smm]
root            507      2 0 22:41:37 ?     00:00:00 [irq/280-arm-smm]
root            508      2 0 22:41:37 ?     00:00:00 [irq/281-arm-smm]
root            509      2 0 22:41:37 ?     00:00:00 [irq/282-arm-smm]
root            510      2 0 22:41:37 ?     00:00:00 [irq/283-arm-smm]
root            511      2 0 22:41:37 ?     00:00:00 [sb-1]
root            512      2 0 22:41:37 ?     00:00:00 [ngd_rx_thread1]
root            513      2 0 22:41:37 ?     00:00:00 [ngd_notify_sl1]
root            514      2 0 22:41:37 ?     00:00:00 [kworker/2:2-events]
root            515      2 0 22:41:37 ?     00:00:00 [irq/84-qpnp_fla]
root            516      2 0 22:41:37 ?     00:00:00 [irq/83-qpnp_fla]
root            517      2 0 22:41:37 ?     00:00:00 [irq/82-qpnp_fla]
root            521      2 0 22:41:38 ?     00:00:00 [jbd2/sda18-8]
root            522      2 0 22:41:38 ?     00:00:00 [ext4-rsv-conver]
root            523      2 0 22:41:38 ?     00:00:00 [kdmflush]
root            524      2 0 22:41:38 ?     00:00:00 [kdmflush]
root            525      2 0 22:41:38 ?     00:00:00 [kdmflush]
root            526      2 0 22:41:38 ?     00:00:00 [kdmflush]
root            527      2 0 22:41:38 ?     00:00:00 [kdmflush]
root            528      2 0 22:41:38 ?     00:00:00 [kdmflush]
root            529      2 0 22:41:38 ?     00:00:00 [kverityd]
root            530      2 0 22:41:38 ?     00:00:00 [ext4-rsv-conver]
root            531      2 1 22:41:38 ?     00:00:06 [kworker/u16:15-ufs_pm_qos_0]
root            532      2 0 22:41:38 ?     00:00:00 [kdmflush]
root            533      2 0 22:41:38 ?     00:00:00 [kverityd]
